Region,County,First Dose,Series Complete,Report as of
Southern Tier,Schuyler,0,0,12/21/2020
Finger Lakes,Seneca,7,0,12/21/2020
North Country,St. Lawrence,647,1,12/21/2020
Southern Tier,Steuben,10,0,12/21/2020
Long Island,Suffolk,2094,10,12/21/2020
Mid-Hudson,Sullivan,70,1,12/21/2020
Southern Tier,Tioga,2,0,12/21/2020
Southern Tier,Tompkins,20,0,12/21/2020
Mid-Hudson,Ulster,255,2,12/21/2020
Capital Region,Warren,129,0,12/21/2020
Capital Region,Washington,57,0,12/21/2020
Finger Lakes,Wayne,61,1,12/21/2020
Mid-Hudson,Westchester,1993,8,12/21/2020
Finger Lakes,Wyoming,30,0,12/21/2020
Finger Lakes,Yates,5,0,12/21/2020
Capital Region,Albany,1083,3,12/22/2020
Western New York,Allegany,72,0,12/22/2020
New York City,Bronx,1348,2,12/22/2020
Southern Tier,Broome,45,0,12/22/2020
Western New York,Cattaraugus,228,0,12/22/2020
Central New York,Cayuga,104,0,12/22/2020
Western New York,Chautauqua,188,0,12/22/2020
Southern Tier,Chemung,5,1,12/22/2020
Southern Tier,Chenango,38,0,12/22/2020
North Country,Clinton,206,0,12/22/2020
Capital Region,Columbia,115,0,12/22/2020
Central New York,Cortland,117,0,12/22/2020
Southern Tier,Delaware,11,0,12/22/2020
Mid-Hudson,Dutchess,544,8,12/22/2020
Western New York,Erie,3852,6,12/22/2020
North Country,Essex,61,0,12/22/2020
North Country,Franklin,198,0,12/22/2020
Mohawk Valley,Fulton,85,0,12/22/2020
Finger Lakes,Genesee,37,1,12/22/2020
Capital Region,Greene,54,0,12/22/2020
North Country,Hamilton,1,0,12/22/2020
Mohawk Valley,Herkimer,106,0,12/22/2020
North Country,Jefferson,35,0,12/22/2020
New York City,Kings,5220,23,12/22/2020
North Country,Lewis,9,0,12/22/2020
Finger Lakes,Livingston,84,0,12/22/2020
Central New York,Madison,178,0,12/22/2020
Finger Lakes,Monroe,2683,4,12/22/2020
Mohawk Valley,Montgomery,105,0,12/22/2020
Long Island,Nassau,4171,11,12/22/2020
New York City,New York,6584,18,12/22/2020
Western New York,Niagara,564,1,12/22/2020
Mohawk Valley,Oneida,518,0,12/22/2020
Central New York,Onondaga,1451,5,12/22/2020
Finger Lakes,Ontario,241,1,12/22/2020
Mid-Hudson,Orange,1193,12,12/22/2020
Finger Lakes,Orleans,34,0,12/22/2020
Central New York,Oswego,87,0,12/22/2020
Mohawk Valley,Otsego,187,0,12/22/2020
Mid-Hudson,Putnam,136,3,12/22/2020
New York City,Queens,3942,15,12/22/2020
Capital Region,Rensselaer,293,2,12/22/2020
New York City,Richmond,1789,2,12/22/2020
Mid-Hudson,Rockland,855,0,12/22/2020
Capital Region,Saratoga,695,2,12/22/2020
Capital Region,Schenectady,402,0,12/22/2020
Mohawk Valley,Schoharie,27,0,12/22/2020
Southern Tier,Schuyler,2,0,12/22/2020
Finger Lakes,Seneca,33,0,12/22/2020
North Country,St. Lawrence,683,2,12/22/2020
Southern Tier,Steuben,83,0,12/22/2020
Long Island,Suffolk,2907,14,12/22/2020
Mid-Hudson,Sullivan,87,2,12/22/2020
Southern Tier,Tioga,4,0,12/22/2020
Southern Tier,Tompkins,35,0,12/22/2020
Mid-Hudson,Ulster,304,2,12/22/2020
Capital Region,Warren,152,0,12/22/2020
Capital Region,Washington,78,0,12/22/2020
Finger Lakes,Wayne,96,1,12/22/2020
Mid-Hudson,Westchester,2648,10,12/22/2020
Finger Lakes,Wyoming,62,0,12/22/2020
Finger Lakes,Yates,18,0,12/22/2020
Capital Region,Albany,2040,6,12/23/2020
Western New York,Allegany,140,0,12/23/2020
New York City,Bronx,2041,4,12/23/2020
Southern Tier,Broome,87,0,12/23/2020
Western New York,Cattaraugus,279,0,12/23/2020
Central New York,Cayuga,132,0,12/23/2020
Western New York,Chautauqua,321,0,12/23/2020
Southern Tier,Chemung,17,1,12/23/2020
Southern Tier,Chenango,81,0,12/23/2020
North Country,Clinton,276,0,12/23/2020
Capital Region,Columbia,154,0,12/23/2020
Central New York,Cortland,131,0,12/23/2020
Southern Tier,Delaware,110,1,12/23/2020
Mid-Hudson,Dutchess,733,10,12/23/2020
Western New York,Erie,6075,7,12/23/2020
North Country,Essex,89,0,12/23/2020
North Country,Franklin,231,0,12/23/2020
Mohawk Valley,Fulton,174,0,12/23/2020
Finger Lakes,Genesee,52,1,12/23/2020
Capital Region,Greene,82,1,12/23/2020
North Country,Hamilton,8,0,12/23/2020
Mohawk Valley,Herkimer,154,0,12/23/2020
North Country,Jefferson,106,0,12/23/2020
New York City,Kings,6936,30,12/23/2020
North Country,Lewis,19,0,12/23/2020
Finger Lakes,Livingston,147,0,12/23/2020
Central New York,Madison,272,0,12/23/2020
Finger Lakes,Monroe,3064,4,12/23/2020
Mohawk Valley,Montgomery,251,0,12/23/2020
Long Island,Nassau,5832,17,12/23/2020
New York City,New York,8994,21,12/23/2020
Western New York,Niagara,830,3,12/23/2020
Mohawk Valley,Oneida,926,1,12/23/2020
Central New York,Onondaga,1649,5,12/23/2020
Finger Lakes,Ontario,457,1,12/23/2020
Mid-Hudson,Orange,1393,14,12/23/2020
Finger Lakes,Orleans,44,0,12/23/2020
Central New York,Oswego,106,0,12/23/2020
Mohawk Valley,Otsego,279,0,12/23/2020
Mid-Hudson,Putnam,199,4,12/23/2020
New York City,Queens,5682,19,12/23/2020
Capital Region,Rensselaer,545,5,12/23/2020
New York City,Richmond,2349,5,12/23/2020
Mid-Hudson,Rockland,1091,0,12/23/2020
Capital Region,Saratoga,1215,4,12/23/2020
Capital Region,Schenectady,673,2,12/23/2020
Mohawk Valley,Schoharie,42,1,12/23/2020
Southern Tier,Schuyler,16,0,12/23/2020
Finger Lakes,Seneca,42,0,12/23/2020
North Country,St. Lawrence,837,2,12/23/2020
Southern Tier,Steuben,196,0,12/23/2020
Long Island,Suffolk,3719,16,12/23/2020
